query_id,iteration,query,doc_id,title,bm25_rank,bm25_score,llm_score,hybrid_score,llm_reason,relevance,final_rank
1063750,2,US entry into WW1 voluntary,6666451,MS MARCO Passage 6666451,2,17.032226,6.0,6.45,"Passage discusses US attitude towards WW1, but doesn't explicitly mention voluntary entry or BM25 score is high due to keyword presence.",1.0,9
1063750,2,US entry into WW1 voluntary,6293679,MS MARCO Passage 6293679,10,10.70579,0.0,0.15,"Passage discusses entry-level job requirements, not US entry into WW1",0.0,10
1103812,1,who formed the commonwealth of independent states,3843267,MS MARCO Passage 3843267,1,23.065167,8.0,8.3,"Mentions formation of CIS, which matches query, but doesn't explicitly mention 'independent states' as part of its name.",3.0,1
1103812,1,who formed the commonwealth of independent states,8220086,MS MARCO Passage 8220086,2,22.874154,8.0,8.15,"Document directly answers query about formation of CIS, a key event in post-Soviet history.",1.0,2
1103812,1,who formed the commonwealth of independent states,1659850,MS MARCO Passage 1659850,3,22.450935,8.0,8.0,Mentions Commonwealth of Independent States as an alliance of former Soviet Socialist Republics,1.0,3
1103812,1,who formed the commonwealth of independent states,4401695,MS MARCO Passage 4401695,7,20.014625,8.0,7.4,"Passage mentions formation of Commonwealth of Independent States in 1991, matching query.",2.0,4
1103812,1,who formed the commonwealth of independent states,3843263,MS MARCO Passage 3843263,9,18.847971,8.0,7.1,"Document mentions the Commonwealth of Independent States and an agreement related to it, but doesn't explicitly mention who formed it.",1.0,5
1103812,1,who formed the commonwealth of independent states,3672744,MS MARCO Passage 3672744,10,18.794635,8.0,6.95,"Defines Commonwealth as an independent country/community/state within a republic, mentions US states like Pennsylvania",0.0,6
1103812,1,who formed the commonwealth of independent states,1659852,MS MARCO Passage 1659852,4,21.623029,6.0,6.15,"Mentions Commonwealth of Independent States, but passage is about multiple organizations, not a direct answer",2.0,7
1103812,1,who formed the commonwealth of independent states,8220089,MS MARCO Passage 8220089,5,21.169248,6.0,6.0,"The passage mentions the CIS and its establishment, but doesn't explicitly state who formed it.",3.0,8
1103812,1,who formed the commonwealth of independent states,6289840,MS MARCO Passage 6289840,6,20.16809,2.0,2.45,"Passage mentions Commonwealth of Independent States, but query asks about formation",1.0,9
1103812,1,who formed the commonwealth of independent states,2360676,MS MARCO Passage 2360676,8,18.922084,2.0,2.15,"Passage mentions formation of a union, but not Commonwealth of Independent States.",0.0,10
1106007,1,define visceral?,1334335,MS MARCO Passage 1334335,1,15.047171,8.0,8.3,"Defines visceral with reference to internal organs and instinctive/unreasoning nature, matching query intent.",3.0,1
1106007,1,define visceral?,5836920,MS MARCO Passage 5836920,2,13.621147,8.0,8.15,"Passage defines visceral peritoneum, which is related to the query's definition request.",0.0,2
1106007,1,define visceral?,7726655,MS MARCO Passage 7726655,3,12.532307,8.0,8.0,"Passage defines visceral in relation to serous membranes, but doesn't provide a direct definition.",0.0,3
1106007,1,define visceral?,8204463,MS MARCO Passage 8204463,10,8.991887,9.0,7.8,"Passage directly defines and provides examples of the word 'visceral', matching query intent.",2.0,4
1106007,1,define visceral?,3537614,MS MARCO Passage 3537614,5,12.052487,8.0,7.7,"Passage defines 'visceral' as related to the viscera, but doesn't directly answer the query.",0.0,5
1106007,1,define visceral?,6942456,MS MARCO Passage 6942456,6,11.555998,8.0,7.55,"Defines visceral in context of anatomy, specifically referring to a layer of pleura.",0.0,6
1106007,1,define visceral?,2384069,MS MARCO Passage 2384069,7,10.629907,8.0,7.4,"Passage defines visceral fat, but also discusses related concept of subcutaneous fat, making it partially relevant to query.",0.0,7
1106007,1,define visceral?,7022723,MS MARCO Passage 7022723,8,10.318141,8.0,7.25,"Defines referred pain, which is related to visceral pain, but not directly answering 'define visceral'.",0.0,8
1106007,1,define visceral?,5279699,MS MARCO Passage 5279699,9,9.078601,8.0,7.1,"Defines visceral muscle, matching query term, but passage is brief and lacks detailed explanation.",0.0,9
1106007,1,define visceral?,2143418,MS MARCO Passage 2143418,4,12.368048,0.0,1.05,"Passage discusses anatomy of pleura, but does not define 'visceral' in context of query.",0.0,10
